3648|3782156|333111|30168|3782156|25|SINALOA|001|Ahome|0001|Los Mochis|MAQUINARIA PARA PAPAS BLANCHET S.A DE C.V|MAQUINARIA PARA PAPAS BLANCHET SA DE CV|333111|Fabricación de maquinaria y equipo agrícola|101 a 250 personas|CARRETERA|Internacional|1||0|COLONIA|MIGUEL HIDALGO|||81210|2023|012|||WWW.MAQUINARIABLANCHET.COM|2010-07|25.82241355|-108.96531500||CALLE|Santos Degollado|CALLE|Ninguno|CALLE|Ninguno|25001333111000084001000000U6
3649|7338569|461140|30169|7338569|09|CIUDAD DE MÉXICO|007|Iztapalapa|0001|Iztapalapa|CENTRAL CHILERA||461140|Comercio al por menor de semillas y granos alimenticios, especias y chiles secos|0 a 5 personas|EJE VIAL|5 SUR (LEYES DE REFORMA)||CENTRAL DE ABASTO||ZONA COMERCIAL|AREA FEDERAL CENTRAL DE ABASTO NAVE ABARROTES A PASILLO 1|ABARROTES Y VIVERES|63|09410|2475|006|5556941292|||2019-11|19.37898844|-99.09391228|CENTRAL DE ABASTO|CIRCUITO|ABARROTES Y VIVERES|CALLE|NINGUNO|CIRCUITO|FRUTAS Y LEGUMBRES|09007461140009571000000000U3
3649|746367|461140|30170|746367|09|CIUDAD DE MÉXICO|007|Iztapalapa|0001|Iztapalapa|NUEVA CENTRAL CHILERA|NUEVA CENTRAL CHILERA |461140|Comercio al por menor de semillas y granos alimenticios, especias y chiles secos|0 a 5 personas|EJE VIAL|5 SUR (LEYES DE REFORMA)|0|NAVE ABARROTES|63|COLONIA|CENTRAL DE ABASTO|ABARROTES Y VIVERES|A 63-B|09410|2475|006|5556941292|||2010-07|19.37898844|-99.09391228|CENTRAL DE ABASTO|CIRCUITO|ABARROTES Y VIVERES|CALLE|NINGUNO|CIRCUITO|FRUTAS Y LEGUMBRES|09007461110064171000000000U7
