3969|2318431|461150|30848|2318431|15|MÉXICO                      |002|Acolman|0015|Tepexpan|CREMERIA LA FLOR DE HIDALGO||461150|Comercio al por menor de leche, otros productos lácteos y embutidos|0 a 5 personas|CALLE|LLUVIA||||FRACCIONAMIENTO|REAL DEL VALLE|||55885|0497|016||||2014-12|19.59553976|-98.97464561||PRIVADA|NINGUNO|CALLE|VALLE DE LAS MONJAS|CALLE|VALLE DE LERMA|15002461150000141000000000U6
3969|2151543|461110|30849|2151543|15|MÉXICO                      |104|Tlalnepantla de Baz|0001|Tlalnepantla|LA FLOR DE HIDALGO||461110|Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas|0 a 5 personas|CALLE|MINA||||COLONIA|MIGUEL HIDALGO|||54060|189A|025||||2010-07|19.52782818|-99.21136578||CALLE|GALEANA|CALLE|MIGUEL HIDALGO|CALLE|GALEANA|15104461110022001000000000U4
3969|7108105|461110|30850|7108105|15|MÉXICO                      |104|Tlalnepantla de Baz|0001|Tlalnepantla|LA FLOR DE HIDALGO||461110|Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas|0 a 5 personas|CALLE|IGNACIO LOPEZ RAYON||||COLONIA|CENTRO HISTORICO|||54000|0393|008||||2019-11|19.54157430|-99.19834452||CALLE|EMILIO CARDENAS|CALLE|MATAMOROS|AVENIDA|AYUNTAMIENTO|15104461110053321000000000U8
