29671|436459|722514|49224|436459|07|CHIAPAS|097|Tonalá|0001|Tonalá|ASADERO LAS BRASAS||722514|Restaurantes con servicio de preparación de tacos y tortas|6 a 10 personas|CALLE|LIBERTAD||||BARRIO|LAS ANIMAS|||30500|027A|043||||2014-12|16.09497389|-93.75875615||AVENIDA|RAYON|CALLE|PENITENCIARIA|CALLE|NINGUNO|07097722518000181011000000U5
29671|7150799|722517|49225|7150799|07|CHIAPAS|089|Tapachula|0001|Tapachula de Córdova y Ordóñez|BURGUE S BRASA||722517|Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar|0 a 5 personas|AVENIDA|PALMAS||||FRACCIONAMIENTO|LOS LAURELES|||30780|0615|017|9621420664|||2019-11|14.88656226|-92.25259963||CALLE|ENCINOS|CALLE|CAOBAS|AVENIDA|NARANJOS|07089722517001841000000000U2
29671|7047323|722517|49226|7047323|07|CHIAPAS|109|Yajalón|0001|Yajalón|LAS BRASAS ASADOR||722517|Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar|0 a 5 personas|AVENIDA|SEGUNDA NORTE ORIENTE|0||0|COLONIA|CENTRO|||29930|0094|032||||2019-11|17.17423814|-92.33283374||CALLE|PRIMERA ORIENTE NORTE|CALLE|CENTRAL NORTE|AVENIDA|CENTRAL ORIENTE|07109722517000221000000000U4
29671|7901663|722517|49227|7901663|07|CHIAPAS|054|Mazatán|0001|Mazatán|POLLERIA POLLOS A LA BRASA Y MAS EL VARON||722517|Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar|0 a 5 personas|CALLE|MATIAS DE CORDOVA||||BARRIO|ESQUIPULAS|||30650|0018|002||||2019-11|14.86319870|-92.44940946||AVENIDA|HIDALGO NORTE|AVENIDA|CENTRAL JUAREZ NORTE|CALLE|DOCTOR BELISARIO DOMÍNGUEZ ORIENTE|07054722517000171000000000S9
29671|7068885|722517|49228|7068885|07|CHIAPAS|083|Socoltenango|0001|Socoltenango|POLLOS A LA BRASA EL BUEN SABOR||722517|Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar|0 a 5 personas|CALLE|SEPTIMA JOSE MARIA PINO SUAREZ||||BARRIO|ESQUIPULA|||30390|0109|006||||2019-11|16.24464454|-92.34961984||AVENIDA|QUINTA INDEPENDENCIA|AVENIDA|CUARTA MORELOS|CALLE|SEXTA FRANCISCO I. MADERO|07083722517000071000000000U0
29671|6963447|722517|49229|6963447|07|CHIAPAS|072|Pueblo Nuevo Solistahuacán|0001|Pueblo Nuevo Solistahuacán|POLLOS A LA BRASA LOS GEMELOS||722517|Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar|0 a 5 personas|CALLE|NINGUNO||||BARRIO|CENTRO|||29750|0092|036||||2019-11|17.16076903|-92.89547487||CALLE|NINGUNO|CALLEJON|NINGUNO|CALLE|NINGUNO|07072722517000131000000000U5
29671|503546|722511|49230|503546|07|CHIAPAS|069|Pijijiapan|0001|Pijijiapan|POLLOS ASADOS LAS BRASAS||722511|Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida|6 a 10 personas|CALLE|CENTRAL NORTE||||BARRIO|PIJIJIAPAN CENTRO|||30540|0190|006|9186450584|||2010-07|15.68728649|-93.20799785||AVENIDA|PRIMERA NORTE PONIENTE|AVENIDA|SEGUNDA NORTE PONIENTE|CALLE|PRIMERA PONIENTE NORTE|07069722212000211001000000U9
29671|6932507|722517|49231|6932507|07|CHIAPAS|124|Mezcalapa|0001|Raudales Malpaso|POLLOS ASADOS Y CAMPERO LAS BRASA||722517|Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar|0 a 5 personas|CALLE|CURVA DEL PETROLERO||||COLONIA|CENTRO|||29600|0029|014||||2019-11|17.19187897|-93.60433523||OTRO (ESPECIFIQUE)|LINDA VISTSA|OTRO (ESPECIFIQUE)|NINGUNO|CALLE|NINGUNO|07124722517000031000000000U6
29671|6913905|722517|49232|6913905|07|CHIAPAS|065|Palenque|0001|Palenque|POLLOS LA BRASA||722517|Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar|0 a 5 personas|AVENIDA|SEXTA NORTE PONIENTE (12 DE OCTUBRE)|0||0|BARRIO|GUADALUPE|||29960|0399|032|9161144163|||2019-11|17.51235585|-91.98251112||CALLE|SEGUNDA PONIENTE NORTE (ALDAMA)|CALLE|PRIMERA PONIENTE NORTE (ABASOLO)|AVENIDA|QUINTA NORTE PONIENTE (VELASCO SUAREZ)|07065722517000791000000000U0
29671|493546|722517|49233|493546|07|CHIAPAS|065|Palenque|0001|Palenque|POLLOS LA BRASA||722517|Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar|0 a 5 personas|AVENIDA|AVENIDA BENITO JUAREZ||||BARRIO|SAN JOSE|||29960|0384|033||||2010-07|17.50831095|-91.98625261||AVENIDA|SEGUNDA AVENIDA SUR PONIENTE  AV. 20 DE NOVIEMBRE|CALLE|4A PONIENTE SUR A (C. PONIENTE A)|AVENIDA|TERCERA SUR PONIENTE CORREGIDORA|07065722212001312000000000M2
