Index, codigo_1, codigo_2
262, 7809908, 435319
264, 9321832, 491110
265, 7381452, 561510
266, 6261725, 435220
266, 6358232, 435210
266, 6382961, 435210
266, 6854036, 435210
269, 2660687, 434111
270, 281277, 811311
270, 519491, 811312
270, 429181, 811311
270, 1242279, 811111
270, 1462094, 811311
270, 1611038, 811311
270, 1918748, 811111
270, 7477317, 811311
270, 2736874, 435110
270, 7496920, 811111
270, 6444077, 811311
270, 2898013, 811311
270, 3044191, 811111
270, 3100036, 811312
270, 3492788, 811111
270, 3390948, 811111
270, 3919276, 811311
270, 4112923, 811111
270, 7365444, 811311
270, 4409524, 811111
270, 4535166, 811111
271, 9216547, 463217
271, 8446932, 463217
271, 6725393, 464111
271, 8946326, 463217
271, 6441046, 464111
272, 6264399, 435110
274, 6994550, 434211
274, 6994367, 434211
274, 326362, 434211
274, 6789910, 434211
274, 8700349, 434211
278, 8326602, 541330
280, 6259460, 333910
281, 6985411, 463213
283, 6261319, 326110
284, 461659, 722514
284, 7667902, 722514
284, 6254860, 722514
284, 6255372, 722514
284, 6978072, 722514
285, 9333999, 435220
285, 6860984, 468211
285, 6715034, 465912
285, 8463385, 461212
285, 8463468, 561330
285, 6704850, 315225
285, 8346073, 435319
285, 8333672, 437111
285, 6857247, 433510
285, 111257, 434229
285, 9223532, 434223
285, 85925, 466212
285, 8320054, 463215
285, 8356503, 488511
285, 8211071, 465215
285, 9343612, 336310
285, 9285537, 433220
285, 6724260, 463215
285, 6739650, 492110
285, 9226377, 492110
285, 9331851, 492110
285, 9331852, 492110
285, 9306268, 492110
285, 7009597, 541211
285, 9297616, 541610
285, 7009652, 611311
285, 9334566, 333510
285, 9323562, 434221
285, 345261, 488511
285, 588021, 435220
285, 9341363, 433110
285, 6425196, 468213
285, 7795115, 811112
285, 6737031, 238210
285, 7983514, 326199
285, 9338329, 435110
285, 6313911, 431130
285, 8564569, 434225
285, 6760481, 433312
285, 6877335, 433410
285, 9162377, 434221
285, 9334959, 433110
285, 6804927, 435412
285, 9334187, 431130
285, 6857919, 431150
285, 6858088, 434221
285, 6861059, 434221
285, 902479, 434211
285, 9230407, 434230
285, 6798339, 437113
288, 6727693, 464113
288, 464764, 464113
291, 2697618, 467111
291, 3026748, 434211
291, 6445786, 467111
297, 8373205, 311350
297, 1637254, 311350
301, 8341521, 541110
302, 6343440, 435313
302, 6762784, 435313
303, 6378108, 465311
311, 8896211, 811312
312, 6252479, 333112
312, 8386900, 466211
312, 7255356, 466211
315, 6396643, 333130
316, 6165542, 236211
316, 6694093, 236211
317, 3582577, 532282
317, 8148321, 532110
317, 8855002, 532110
317, 3552977, 532411
317, 8632508, 532110
318, 8947413, 467111
319, 8233762, 532493
319, 7771754, 531119
324, 4465169, 561710
325, 403554, 931510
325, 8210251, 312112
325, 8639894, 434111
325, 7135116, 311830
326, 6768405, 333319
330, 8140774, 466311
331, 6456170, 434219
336, 6702575, 316211
339, 1506685, 541890
343, 3820781, 431130
344, 8036919, 522390
344, 6713768, 522390
347, 9031659, 466212
347, 4480554, 466212
